iter,fitness,time,XPL,XPT,DIV
0,22884.0,0.101,100.0,0.0,0.495
1,10117.0,0.945,46.67,53.33,0.231
2,2392.0,2.45,23.43,76.57,0.116
3,814.0,3.467,8.69,91.31,0.043
4,467.0,3.333,3.03,96.97,0.015
5,447.0,3.267,1.41,98.59,0.007
6,438.0,3.3,1.62,98.38,0.008
7,438.0,3.317,1.62,98.38,0.008
8,438.0,3.283,1.41,98.59,0.007
9,438.0,3.233,1.41,98.59,0.007
10,438.0,3.4,1.41,98.59,0.007
11,438.0,3.45,1.41,98.59,0.007
12,438.0,3.45,1.41,98.59,0.007
13,438.0,3.301,1.21,98.79,0.006
14,437.0,3.216,1.41,98.59,0.007
